accession	sample_id	assay	genome	role	control_id	replicate	peak_caller	notes
ERR3975804	e5_atac_rep1	atac	dm6	treatment		1	hmmratac	atlas selected: embryo stage 5 / 2-4h; 399_24h_rep1_ATAC_p; technical_run=1
ERR3975777	e5_atac_rep1	atac	dm6	treatment		1	hmmratac	atlas selected: embryo stage 5 / 2-4h; 399_24h_rep1_ATAC_p; technical_run=2
ERR3975789	e5_atac_rep2	atac	dm6	treatment		2	hmmratac	atlas selected: embryo stage 5 / 2-4h; 399_24h_rep2_ATAC_p; technical_run=1
ERR3975761	e11_atac_rep1	atac	dm6	treatment		1	hmmratac	atlas selected: embryo stage 11 / 6-8h; 399_68h_rep1_ATAC_p; technical_run=1
ERR3975754	e11_atac_rep2	atac	dm6	treatment		2	hmmratac	atlas selected: embryo stage 11 / 6-8h; 399_68h_rep2_ATAC_p; technical_run=1
ERR3975767	e13_atac_rep1	atac	dm6	treatment		1	hmmratac	atlas selected: embryo stage 13 / 10-12h; 399_1012h_rep1_ATAC_p; technical_run=1
ERR3975735	e13_atac_rep2	atac	dm6	treatment		2	hmmratac	atlas selected: embryo stage 13 / 10-12h; 399_1012h_rep2_ATAC_p; technical_run=1
SRR13700624	hid_atac_rep1	atac	dm6	treatment		1	hmmratac	atlas selected: haltere imaginal disc; ATAC_haltere_unsorted_rep1; technical_run=1
SRR13700625	hid_atac_rep2	atac	dm6	treatment		2	hmmratac	atlas selected: haltere imaginal disc; ATAC_haltere_unsorted_rep2; technical_run=1
SRR15888034	ead_atac_rep2	atac	dm6	treatment		2	hmmratac	atlas selected: eye / eye-antennal disc; Sample_A4_ED_2; technical_run=1
SRR15888024	ead_atac_rep3	atac	dm6	treatment		3	hmmratac	atlas selected: eye / eye-antennal disc; Sample_A4_ED_3; technical_run=1
SRR15888109	ead_atac_rep4	atac	dm6	treatment		4	hmmratac	atlas selected: eye / eye-antennal disc; Sample_A4_ED_4; technical_run=1
SRR15888022	ab_atac_rep1	atac	dm6	treatment		1	hmmratac	atlas selected: adult brain / CNS; Sample_A6_BR_1; technical_run=1
SRR15888107	ab_atac_rep2	atac	dm6	treatment		2	hmmratac	atlas selected: adult brain / CNS; Sample_A6_BR_2; technical_run=1
SRR15888097	ab_atac_rep3	atac	dm6	treatment		3	hmmratac	atlas selected: adult brain / CNS; Sample_A6_BR_3; technical_run=1
SRR15888018	o_atac_rep1	atac	dm6	treatment		1	hmmratac	atlas selected: ovary; Sample_B2_OV_1; technical_run=1
SRR15888103	o_atac_rep2	atac	dm6	treatment		2	hmmratac	atlas selected: ovary; Sample_B2_OV_2; technical_run=1
SRR15888093	o_atac_rep3	atac	dm6	treatment		3	hmmratac	atlas selected: ovary; Sample_B2_OV_3; technical_run=1
SRR16155879	lb_atac_rep1	atac	dm6	treatment		1	hmmratac	atlas selected: larval brain / CNS; time_release_ATAC_0H_1; technical_run=1
SRR16155880	lb_atac_rep2	atac	dm6	treatment		2	hmmratac	atlas selected: larval brain / CNS; time_release_ATAC_0H_2; technical_run=1
SRR16155881	lb_atac_rep3	atac	dm6	treatment		3	hmmratac	atlas selected: larval brain / CNS; time_release_ATAC_0H_3; technical_run=1
SRR5946184	wid_atac_rep1	atac	dm6	treatment		1	hmmratac	atlas selected: wing imaginal disc; 0h_ctrl_rep1 [ATAC-Seq]; technical_run=1
SRR5946185	wid_atac_rep2	atac	dm6	treatment		2	hmmratac	atlas selected: wing imaginal disc; 0h_ctrl_rep2 [ATAC-Seq]; technical_run=1
