accession	sample_id	assay	genome	role	control_id	replicate	peak_caller	notes
ERR3975911	e5_h3k27ac_rep1	chip_histone	dm6	treatment		1	callpeak	atlas selected IP-only: embryo stage 5 / 2-4h; 399_24h_rep1_K27ac_p; layout=PAIRED
ERR3976003	e5_h3k27ac_rep2	chip_histone	dm6	treatment		2	callpeak	atlas selected IP-only: embryo stage 5 / 2-4h; 399_24h_rep2_K27ac_p; layout=PAIRED
ERR3975901	e11_h3k27ac_rep1	chip_histone	dm6	treatment		1	callpeak	atlas selected IP-only: embryo stage 11 / 6-8h; 399_68h_rep1_K27ac_p; layout=PAIRED
ERR3975912	e11_h3k27ac_rep2	chip_histone	dm6	treatment		2	callpeak	atlas selected IP-only: embryo stage 11 / 6-8h; 399_68h_rep2_K27ac_p; layout=PAIRED
ERR3975967	e13_h3k27ac_rep1	chip_histone	dm6	treatment		1	callpeak	atlas selected IP-only: embryo stage 13 / 10-12h; 399_1012h_rep1_K27ac_p; layout=PAIRED
ERR3975904	e13_h3k27ac_rep2	chip_histone	dm6	treatment		2	callpeak	atlas selected IP-only: embryo stage 13 / 10-12h; 399_1012h_rep2_K27ac_p; layout=PAIRED
SRR7148579	ead_h3k27ac_rep1	chip_histone	dm6	treatment		1	callpeak	atlas selected IP-only: eye / eye-antennal disc; H3K27Ac ChIP-seq; layout=SINGLE
SRR6278166	hid_h3k27ac_rep1	chip_histone	dm6	treatment		1	callpeak	atlas selected IP-only: haltere imaginal disc; H3K27ac IP haltere replicate1; layout=SINGLE
SRR6278168	hid_h3k27ac_rep2	chip_histone	dm6	treatment		2	callpeak	atlas selected IP-only: haltere imaginal disc; H3K27ac IP haltere replicate2; layout=SINGLE
SRR6278172	wid_h3k27ac_rep1	chip_histone	dm6	treatment		1	callpeak	atlas selected IP-only: wing imaginal disc; H3K27ac IP wing replicate1; layout=SINGLE
SRR6278174	wid_h3k27ac_rep2	chip_histone	dm6	treatment		2	callpeak	atlas selected IP-only: wing imaginal disc; H3K27ac IP wing replicate2; layout=SINGLE
SRR5259254	lb_h3k27ac_rep1	chip_histone	dm6	treatment		1	callpeak	atlas selected IP-only: larval brain / CNS; H3K27ac-1; layout=SINGLE
SRR5259255	lb_h3k27ac_rep2	chip_histone	dm6	treatment		2	callpeak	atlas selected IP-only: larval brain / CNS; H3K27ac-2; layout=SINGLE
SRR5319052	ab_h3k27ac_rep1	chip_histone	dm6	treatment		1	callpeak	atlas selected IP-only: adult brain / CNS; dm3.brains.k27ac.wt.rep1; layout=SINGLE
SRR11084657	o_h3k27ac_rep1	chip_histone	dm6	treatment		1	callpeak	atlas selected IP-only: ovary; sorted germcell ChIPseq GSC sortA H3K27ac; layout=SINGLE
