accession	library_id	assay	context	control_library	role
SRR15888022	ab_atac_rep1	atac	ab		treatment
SRR15888107	ab_atac_rep2	atac	ab		treatment
SRR15888097	ab_atac_rep3	atac	ab		treatment
ERR3975761	e11_atac_rep1	atac	e11		treatment
ERR3975754	e11_atac_rep2	atac	e11		treatment
ERR3975767	e13_atac_rep1	atac	e13		treatment
ERR3975735	e13_atac_rep2	atac	e13		treatment
ERR3975777	e5_atac_rep1	atac	e5		treatment
ERR3975804	e5_atac_rep1	atac	e5		treatment
ERR3975789	e5_atac_rep2	atac	e5		treatment
SRR15888034	ead_atac_rep2	atac	ead		treatment
SRR15888024	ead_atac_rep3	atac	ead		treatment
SRR15888109	ead_atac_rep4	atac	ead		treatment
SRR13700624	hid_atac_rep1	atac	hid		treatment
SRR13700625	hid_atac_rep2	atac	hid		treatment
SRR16155879	lb_atac_rep1	atac	lb		treatment
SRR16155880	lb_atac_rep2	atac	lb		treatment
SRR16155881	lb_atac_rep3	atac	lb		treatment
SRR15888018	o_atac_rep1	atac	o		treatment
SRR15888103	o_atac_rep2	atac	o		treatment
SRR15888093	o_atac_rep3	atac	o		treatment
SRR5946184	wid_atac_rep1	atac	wid		treatment
SRR5946185	wid_atac_rep2	atac	wid		treatment
SRR5319052	ab_h3k27ac_rep1	h3k27ac	ab	ab_input_rep1	treatment
SRR5319047	ab_input_rep1	h3k27ac	ab		control
ERR3975901	e11_h3k27ac_rep1	h3k27ac	e11		treatment
ERR3975912	e11_h3k27ac_rep2	h3k27ac	e11		treatment
ERR3975967	e13_h3k27ac_rep1	h3k27ac	e13		treatment
ERR3975904	e13_h3k27ac_rep2	h3k27ac	e13		treatment
SRR10485675	e5_h3k27ac_rep1	h3k27ac	e5	e5_input_rep1	treatment
SRR10485677	e5_h3k27ac_rep2	h3k27ac	e5	e5_input_rep2	treatment
SRR10485676	e5_input_rep1	h3k27ac	e5		control
SRR10485678	e5_input_rep2	h3k27ac	e5		control
SRR7148579	ead_h3k27ac_rep1	h3k27ac	ead		treatment
SRR6278166	hid_h3k27ac_rep1	h3k27ac	hid		treatment
SRR6278168	hid_h3k27ac_rep2	h3k27ac	hid		treatment
SRR5259254	lb_h3k27ac_rep1	h3k27ac	lb		treatment
SRR5259255	lb_h3k27ac_rep2	h3k27ac	lb		treatment
SRR11084657	o_h3k27ac_rep1	h3k27ac	o		treatment
SRR6278172	wid_h3k27ac_rep1	h3k27ac	wid		treatment
SRR6278174	wid_h3k27ac_rep2	h3k27ac	wid		treatment
